delinquency_state,Current,DPD30,DPD60,DPD90,DPD120,DPD150,ChargeOff,Prepaid,Repurchased,row_sum
Current,0.9843730331513945,0.00767806106129861,0.0,0.0,0.0,0.0,0.0,0.007859140106687028,8.97656806198991e-05,1.0
DPD30,0.41161408610988176,0.34364923816147186,0.2421129164822659,0.0,0.0,0.0,0.0,0.0024973130176392487,0.00012644622874122778,1.0
DPD60,0.0,0.35084835319673574,0.3713967005225151,0.2759936593671109,0.0,0.0,0.0,0.0017612869136382316,0.0,0.9999999999999999
DPD90,0.0,0.0,0.29457655794717547,0.4082150578061848,0.2956104897076793,0.0,0.0,0.0015978945389604287,0.0,0.9999999999999999
DPD120,0.0,0.0,0.0,0.24055636896046853,0.4405563689604685,0.3166910688140556,0.0,0.0020497803806734994,0.00014641288433382137,1.0
DPD150,0.0,0.0,0.0,0.0,0.17537313432835822,0.46567164179104475,0.35696517412935325,0.001990049751243781,0.0,0.9999999999999999
ChargeOff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Prepaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Repurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
